Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
2,1000,0.2,0.2,50.0,1000,3176,2546,999,51088.371094,0.019554
3,1000,0.2,0.2,50.0,1000,2713,2164,999,50305.722656,0.019859
4,1000,0.2,0.2,50.0,1000,2936,2356,994,49641.410156,0.020024
5,1000,0.2,0.2,50.0,1000,2526,2041,999,50572.937500,0.019754
6,1000,0.2,0.2,50.0,1000,2785,2211,997,51402.589844,0.019396
7,1000,0.2,0.2,50.0,1000,3680,2959,999,49697.304688,0.020102
8,1000,0.2,0.2,50.0,1000,2552,2043,998,50175.492188,0.019890
9,1000,0.2,0.2,50.0,1000,2901,2274,999,49622.679688,0.020132
10,1000,0.2,0.2,50.0,1000,2619,2097,998,49693.531250,0.020083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,8923,4459,691,50114.066406,0.013789
2,1000,0.5,0.2,50.0,1000,8909,4388,643,49585.222656,0.012968
3,1000,0.5,0.2,50.0,1000,9020,4459,575,48709.574219,0.011805
4,1000,0.5,0.2,50.0,1000,8539,4295,681,49379.691406,0.013791
5,1000,0.5,0.2,50.0,1000,9161,4567,575,48778.781250,0.011788
6,1000,0.5,0.2,50.0,1000,8440,4239,718,51332.000000,0.013987
7,1000,0.5,0.2,50.0,1000,9315,4633,627,51867.398438,0.012089
8,1000,0.5,0.2,50.0,1000,8888,4514,639,49196.527344,0.012989
9,1000,0.5,0.2,50.0,1000,8678,4275,587,48054.308594,0.012215
10,1000,0.5,0.2,50.0,1000,9252,4574,603,50112.726562,0.012033
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,46551,8795,165,49130.617188,0.003358
2,1000,0.5,0.2,50.0,1000,46585,8874,195,50337.179688,0.003874
3,1000,0.5,0.2,50.0,1000,48658,9134,167,50943.910156,0.003278
4,1000,0.5,0.2,50.0,1000,47989,8925,162,50146.757812,0.003231
5,1000,0.5,0.2,50.0,1000,46756,8881,184,50716.621094,0.003628
6,1000,0.5,0.2,50.0,1000,48213,9072,164,51244.628906,0.003200
7,1000,0.5,0.2,50.0,1000,49119,9290,165,51370.812500,0.003212
8,1000,0.5,0.2,50.0,1000,47771,8884,153,49711.960938,0.003078
9,1000,0.5,0.2,50.0,1000,49850,9222,157,51726.011719,0.003035
